compania,videoperitacion,fecha_entrada,perito,provincia,honorario_gabinete,honorario_perito,tasacion_origen,tiempo_resolucion_dias
Linea Directa,No,2024-09-05,Perito C,Zaragoza,49,31,5043,3.7
Mapfre,Si,2025-04-29,Perito B,Madrid,37,16,3104,3.1
Linea Directa,Si,2024-03-24,Perito C,Valencia,33,19,7928,4.6
AXA,No,2025-06-03,Perito B,Madrid,55,30,674,4.9
Mapfre,No,2024-05-08,Perito C,Barcelona,55,31,1282,3.1
Generali,Si,2024-04-16,Perito A,Zaragoza,39,41,2758,1.1
Linea Directa,Si,2024-10-31,Perito C,Zaragoza,38,21,2247,2.7
Mapfre,Si,2024-03-25,Perito D,Málaga,26,22,7843,6.8
Mapfre,Si,2024-07-27,Perito D,Sevilla,23,22,2947,2.0
Allianz,Si,2024-07-01,Perito A,Sevilla,53,37,1175,4.1
Generali,No,2024-10-02,Perito A,Sevilla,21,46,2006,3.1
Generali,Si,2024-07-05,Perito A,Valencia,24,32,389,2.8
Allianz,No,2024-04-21,Perito D,Sevilla,29,26,7301,6.0
Linea Directa,No,2024-11-17,Perito C,Zaragoza,51,29,2934,3.8
Mutua,No,2024-01-29,Perito A,Zaragoza,32,42,3205,3.4
AXA,No,2024-09-08,Perito C,Málaga,58,45,4858,4.7
Generali,Si,2025-04-23,Perito B,Madrid,24,23,2099,4.5
Mutua,No,2024-06-22,Perito C,Barcelona,29,22,7934,8.6
Linea Directa,No,2025-05-05,Perito C,Sevilla,29,33,1467,2.2
AXA,No,2024-11-03,Perito D,Sevilla,57,22,7175,5.2
Generali,Si,2025-04-08,Perito C,Sevilla,46,48,1728,1.7
Mapfre,No,2024-12-04,Perito D,Barcelona,40,18,3402,4.8
Generali,No,2024-06-01,Perito B,Málaga,27,45,3756,3.4
AXA,No,2025-05-30,Perito D,Sevilla,20,17,4090,3.2
Mutua,Si,2025-04-20,Perito B,Madrid,47,49,846,4.9
Mapfre,Si,2025-04-29,Perito B,Valencia,58,33,6364,4.2
AXA,Si,2024-01-29,Perito A,Barcelona,33,43,3088,3.2
Linea Directa,No,2025-06-11,Perito C,Málaga,40,24,6510,5.0
AXA,Si,2024-01-15,Perito C,Zaragoza,49,26,5593,4.5
Generali,Si,2024-03-11,Perito A,Madrid,40,44,2635,4.6
Linea Directa,Si,2024-05-14,Perito A,Barcelona,28,44,800,4.2
Allianz,No,2024-10-17,Perito C,Zaragoza,36,32,2563,5.8
Allianz,Si,2025-04-23,Perito A,Barcelona,24,38,2261,5.2
Mapfre,No,2024-10-19,Perito A,Valencia,50,46,441,5.0
AXA,No,2024-08-24,Perito B,Valencia,59,23,2241,4.1
Mutua,No,2024-07-25,Perito A,Zaragoza,57,38,3024,5.4
Mapfre,No,2025-04-22,Perito A,Zaragoza,38,40,7713,5.4
Linea Directa,Si,2024-12-26,Perito D,Málaga,55,17,2812,3.2
Mapfre,Si,2025-02-01,Perito C,Sevilla,52,37,7241,6.0
Generali,No,2024-11-19,Perito D,Zaragoza,32,25,1563,3.2
Linea Directa,No,2025-03-05,Perito A,Valencia,33,24,6435,5.2
Mutua,No,2024-06-22,Perito A,Málaga,52,27,5686,6.7
AXA,No,2025-05-13,Perito D,Barcelona,48,43,7299,5.1
Linea Directa,Si,2024-09-29,Perito A,Sevilla,55,27,1678,5.4
AXA,Si,2025-06-09,Perito B,Madrid,29,40,7795,5.9
AXA,No,2024-05-06,Perito D,Barcelona,50,34,2756,2.8
Mapfre,Si,2025-02-05,Perito D,Málaga,25,19,975,2.3
Generali,Si,2024-12-19,Perito C,Madrid,20,34,4214,5.8
Mapfre,Si,2025-02-05,Perito D,Barcelona,26,28,234,3.7
Allianz,Si,2024-10-09,Perito B,Valencia,46,28,6549,4.2
Allianz,No,2025-04-13,Perito A,Málaga,40,22,3352,4.8
AXA,Si,2025-02-17,Perito D,Madrid,47,27,2155,4.3
Generali,No,2024-02-12,Perito D,Zaragoza,35,38,1785,1.1
Linea Directa,Si,2024-08-11,Perito C,Valencia,42,29,4143,2.8
AXA,Si,2025-03-27,Perito C,Zaragoza,39,15,7755,3.9
Linea Directa,No,2024-06-07,Perito A,Zaragoza,57,36,3273,5.4
AXA,Si,2024-09-04,Perito D,Madrid,44,48,1221,2.0
Mapfre,No,2024-12-22,Perito B,Sevilla,47,17,3661,3.5
AXA,Si,2024-04-19,Perito A,Sevilla,24,40,2813,3.0
AXA,No,2025-01-01,Perito B,Málaga,40,28,5425,4.0
Generali,Si,2025-05-02,Perito D,Madrid,37,22,4043,4.9
Generali,No,2024-04-30,Perito A,Sevilla,25,30,1700,3.6
Linea Directa,Si,2024-07-09,Perito C,Barcelona,48,35,4998,5.2
Generali,No,2024-06-12,Perito C,Barcelona,38,24,6745,5.7
AXA,Si,2024-12-10,Perito B,Sevilla,52,39,7073,4.3
Generali,No,2024-10-14,Perito A,Zaragoza,20,36,5875,5.3
Generali,No,2024-11-19,Perito B,Zaragoza,22,18,361,1.2
Mutua,Si,2024-10-28,Perito C,Sevilla,40,18,4497,2.3
Mutua,No,2024-07-05,Perito D,Málaga,54,44,2181,2.0
Allianz,No,2025-03-27,Perito C,Zaragoza,59,16,1195,4.5
Mapfre,Si,2024-04-13,Perito D,Málaga,22,43,6613,5.0
Mapfre,Si,2025-01-13,Perito B,Barcelona,44,35,5111,4.2
Generali,Si,2024-08-22,Perito B,Valencia,57,35,3542,3.6
Allianz,No,2024-08-25,Perito B,Madrid,39,35,4751,4.9
Allianz,No,2024-07-22,Perito D,Valencia,53,18,7829,5.4
Linea Directa,Si,2024-09-16,Perito B,Málaga,40,15,3998,3.0
Mutua,No,2024-12-14,Perito B,Zaragoza,42,40,1475,3.0
Allianz,Si,2024-01-03,Perito A,Valencia,25,16,1216,3.5
AXA,No,2024-10-10,Perito D,Málaga,32,23,6639,5.0
Linea Directa,Si,2024-05-18,Perito B,Valencia,42,32,7063,3.6
Generali,No,2024-12-30,Perito B,Barcelona,28,25,537,5.9
AXA,Si,2025-03-30,Perito D,Málaga,36,39,1078,3.7
Mapfre,Si,2025-02-01,Perito D,Barcelona,21,40,1276,3.0
Mutua,Si,2024-03-22,Perito C,Valencia,38,49,5087,4.3
AXA,No,2024-09-25,Perito C,Sevilla,38,17,4193,6.7
Generali,No,2024-06-09,Perito A,Sevilla,26,49,6560,6.3
AXA,No,2025-03-16,Perito B,Madrid,39,36,5059,4.3
AXA,Si,2024-10-12,Perito D,Sevilla,28,22,6531,3.7
Allianz,No,2024-05-02,Perito B,Madrid,36,29,579,3.8
Mutua,No,2025-01-11,Perito C,Valencia,46,21,692,2.8
Mapfre,Si,2025-05-19,Perito C,Madrid,21,33,7408,5.9
Generali,Si,2025-06-23,Perito C,Madrid,55,31,5476,4.3
Linea Directa,Si,2025-03-25,Perito D,Madrid,38,15,2262,4.1
Linea Directa,Si,2024-03-04,Perito B,Barcelona,36,43,4084,3.7
Generali,No,2024-11-28,Perito D,Madrid,24,27,264,2.5
Mapfre,Si,2024-09-20,Perito B,Zaragoza,58,43,2768,4.2
Generali,No,2025-02-28,Perito A,Málaga,37,20,5663,5.1
Allianz,Si,2025-03-18,Perito C,Valencia,26,19,5448,4.6
Linea Directa,No,2025-03-06,Perito C,Barcelona,36,48,2227,3.8
Linea Directa,Si,2025-04-11,Perito C,Málaga,58,25,2895,2.8
AXA,Si,2024-12-18,Perito C,Valencia,55,23,1695,3.2
Allianz,Si,2024-04-26,Perito D,Barcelona,59,23,7430,4.2
Linea Directa,Si,2024-01-04,Perito C,Valencia,23,22,5458,4.3
Allianz,Si,2024-11-19,Perito B,Sevilla,57,17,5818,5.1
Allianz,No,2024-01-04,Perito B,Valencia,44,27,6936,5.7
Mapfre,No,2024-12-15,Perito C,Sevilla,24,33,591,2.7
Linea Directa,No,2025-03-26,Perito C,Sevilla,49,48,5994,4.4
Mutua,No,2024-03-07,Perito D,Zaragoza,31,46,4714,3.3
Mapfre,No,2024-09-27,Perito D,Valencia,23,30,6632,3.8
Mapfre,Si,2024-06-10,Perito B,Sevilla,43,32,4674,4.4
Allianz,Si,2025-04-10,Perito B,Zaragoza,48,28,6092,3.1
Mutua,No,2025-05-27,Perito A,Barcelona,28,44,3761,5.5
Mapfre,No,2025-01-30,Perito B,Sevilla,23,16,2478,4.0
Mutua,No,2025-05-17,Perito A,Madrid,43,27,7361,6.6
Linea Directa,No,2024-01-19,Perito C,Barcelona,33,41,6384,5.4
Allianz,No,2024-11-22,Perito C,Zaragoza,24,31,3299,5.3
Mapfre,Si,2024-09-18,Perito C,Barcelona,37,45,6478,4.5
Mutua,No,2024-09-04,Perito B,Barcelona,38,29,400,4.3
Generali,Si,2024-02-13,Perito B,Madrid,31,34,6159,4.5
Mapfre,No,2025-03-10,Perito C,Madrid,37,19,5075,5.1
Mapfre,Si,2024-01-24,Perito D,Madrid,36,21,7273,3.6
Mapfre,No,2024-11-29,Perito C,Madrid,49,32,3304,5.1
Mutua,No,2024-04-02,Perito A,Zaragoza,43,25,7415,4.7
AXA,Si,2025-04-05,Perito D,Madrid,30,46,4798,4.4
Linea Directa,Si,2024-05-04,Perito D,Zaragoza,54,41,2654,2.1
Mapfre,Si,2024-04-02,Perito B,Zaragoza,42,40,3845,2.3
Generali,No,2024-10-03,Perito B,Málaga,36,42,6047,3.9
Generali,No,2024-10-19,Perito A,Málaga,20,16,1004,1.5
Allianz,No,2025-06-07,Perito C,Madrid,34,34,6442,6.8
AXA,No,2025-03-18,Perito C,Zaragoza,51,18,2931,3.9
AXA,Si,2024-02-26,Perito B,Barcelona,28,27,6191,5.2
Mutua,Si,2024-03-21,Perito B,Sevilla,34,38,2973,3.5
Allianz,Si,2024-06-06,Perito C,Sevilla,47,43,1770,4.2
Mutua,Si,2025-03-05,Perito D,Málaga,43,16,5256,2.3
Allianz,Si,2024-02-08,Perito A,Madrid,54,32,6956,5.2
Linea Directa,Si,2024-08-28,Perito A,Valencia,41,22,5781,5.0
AXA,Si,2024-06-08,Perito A,Sevilla,46,29,2890,4.2
Linea Directa,No,2024-01-15,Perito B,Zaragoza,38,31,4040,4.4
Mutua,No,2025-06-12,Perito D,Zaragoza,31,37,1228,1.0
Allianz,Si,2024-02-07,Perito A,Sevilla,39,16,7585,2.8
AXA,Si,2024-02-09,Perito D,Barcelona,20,20,702,2.7
AXA,No,2024-03-19,Perito B,Sevilla,40,43,7110,6.5
Mapfre,Si,2024-01-16,Perito B,Málaga,20,41,4693,5.0
Mutua,No,2024-01-31,Perito C,Madrid,29,48,1070,2.6
Mapfre,No,2025-03-03,Perito D,Madrid,51,32,7138,6.3
AXA,Si,2024-01-30,Perito D,Zaragoza,58,24,4688,3.5
Mutua,No,2024-06-24,Perito D,Sevilla,41,31,406,2.1
Mutua,No,2025-05-14,Perito C,Valencia,37,27,5334,4.9
Linea Directa,No,2024-07-23,Perito A,Málaga,51,41,6177,5.3
Generali,Si,2024-07-17,Perito A,Zaragoza,46,16,7921,4.0
Allianz,Si,2025-01-26,Perito B,Sevilla,47,48,7235,3.8
Generali,No,2024-02-15,Perito C,Málaga,37,45,1684,5.6
Generali,Si,2024-09-24,Perito D,Valencia,58,37,7942,4.4
AXA,No,2024-12-13,Perito C,Zaragoza,48,21,1063,2.1
Linea Directa,No,2025-01-24,Perito B,Málaga,37,47,2990,2.9
Allianz,Si,2024-07-31,Perito A,Zaragoza,27,26,7608,6.6
Generali,No,2024-08-09,Perito A,Málaga,50,26,763,3.3
Generali,No,2024-09-02,Perito B,Málaga,53,33,5316,4.4
Mutua,No,2025-06-21,Perito C,Zaragoza,26,23,4391,5.3
AXA,No,2024-02-02,Perito B,Madrid,55,24,6219,5.7
Generali,No,2025-03-01,Perito D,Valencia,37,31,1957,2.6
Allianz,No,2025-02-01,Perito D,Zaragoza,57,24,6828,5.0
Mapfre,No,2025-04-19,Perito B,Madrid,28,26,7774,5.9
Mapfre,Si,2024-07-10,Perito D,Barcelona,28,29,6574,4.2
AXA,Si,2024-06-15,Perito D,Sevilla,27,45,7092,5.5
Mapfre,No,2025-06-17,Perito A,Zaragoza,54,29,1878,3.3
Mutua,Si,2025-03-13,Perito C,Madrid,37,42,3442,3.9
Mutua,No,2025-06-11,Perito A,Zaragoza,24,18,4836,7.2
Allianz,No,2024-10-19,Perito A,Zaragoza,33,15,1259,1.0
Linea Directa,No,2025-01-02,Perito C,Zaragoza,47,48,6868,7.2
AXA,No,2024-01-25,Perito A,Málaga,49,31,5479,5.9
AXA,Si,2025-06-20,Perito D,Barcelona,23,47,1922,3.6
Mapfre,No,2025-01-27,Perito B,Valencia,58,35,3514,4.6
Generali,No,2024-05-16,Perito B,Valencia,39,40,3357,3.7
Generali,Si,2024-04-19,Perito C,Zaragoza,44,19,6115,3.0
Linea Directa,Si,2025-03-24,Perito B,Madrid,47,47,2825,3.9
Generali,Si,2024-04-20,Perito B,Zaragoza,31,15,2929,2.9
Linea Directa,Si,2024-10-13,Perito B,Málaga,21,20,6900,4.5
Allianz,Si,2024-03-07,Perito B,Málaga,33,16,1797,2.3
AXA,Si,2024-05-16,Perito A,Zaragoza,41,19,3260,4.4
Mapfre,No,2024-06-13,Perito D,Valencia,50,40,2893,4.3
Allianz,No,2025-05-16,Perito D,Málaga,42,27,5091,2.7
Mutua,Si,2024-09-15,Perito B,Sevilla,39,26,5347,2.1
Mutua,Si,2025-04-11,Perito C,Madrid,57,19,5939,4.2
Mutua,No,2024-02-10,Perito A,Madrid,23,16,3827,4.4
Linea Directa,Si,2024-08-02,Perito B,Málaga,34,18,1563,3.6
Linea Directa,Si,2025-02-23,Perito B,Valencia,43,41,2181,2.1
AXA,Si,2024-08-18,Perito C,Zaragoza,44,24,5650,4.4
Mutua,No,2025-06-14,Perito A,Sevilla,20,27,1863,4.0
Linea Directa,Si,2025-01-01,Perito B,Sevilla,26,16,1729,3.5
Linea Directa,No,2025-03-11,Perito C,Zaragoza,50,40,2238,3.3
Generali,No,2025-05-17,Perito A,Sevilla,31,29,7715,4.5
Linea Directa,No,2024-11-25,Perito A,Barcelona,24,24,5792,5.7
Mutua,Si,2024-07-05,Perito B,Málaga,57,36,3502,1.0
Allianz,Si,2024-07-09,Perito C,Sevilla,31,39,2437,1.3
Mutua,No,2025-05-14,Perito C,Málaga,58,29,7592,5.9
Generali,No,2025-02-05,Perito B,Valencia,37,27,5704,5.1
Mutua,Si,2025-04-04,Perito B,Valencia,21,22,5696,3.3
Mapfre,No,2025-01-19,Perito B,Zaragoza,29,35,1506,3.3
Generali,Si,2024-11-28,Perito C,Valencia,34,35,4229,1.8
AXA,No,2025-06-17,Perito A,Barcelona,49,36,6976,7.5
Mutua,Si,2025-02-28,Perito B,Valencia,36,47,2875,2.8
Linea Directa,Si,2024-12-06,Perito D,Málaga,23,41,5268,3.8
Allianz,No,2024-03-27,Perito D,Madrid,26,36,6064,6.0
Mutua,No,2024-07-27,Perito B,Madrid,50,44,1482,4.8
Allianz,Si,2024-11-22,Perito D,Málaga,58,23,7726,3.1
Mapfre,No,2025-01-14,Perito A,Madrid,53,49,909,5.1
AXA,No,2024-02-09,Perito A,Sevilla,25,32,5775,5.9
Linea Directa,No,2024-06-12,Perito D,Madrid,57,19,5730,4.7
Generali,Si,2024-04-14,Perito C,Barcelona,53,41,4944,5.0
Generali,No,2024-11-19,Perito B,Valencia,34,20,4613,3.1
AXA,No,2024-12-05,Perito C,Madrid,33,46,3948,5.9
Mapfre,No,2025-06-05,Perito A,Madrid,25,22,7592,7.3
Mapfre,No,2024-11-30,Perito D,Zaragoza,56,35,5553,5.8
Mutua,Si,2024-05-08,Perito B,Barcelona,51,32,4979,6.6
Mapfre,No,2024-10-03,Perito D,Zaragoza,22,28,863,2.5
Mutua,Si,2024-10-01,Perito D,Barcelona,22,29,2198,3.7
Allianz,Si,2024-02-16,Perito C,Madrid,41,40,3645,4.6
AXA,No,2025-04-26,Perito C,Sevilla,41,46,3943,4.0
Allianz,No,2025-02-08,Perito D,Madrid,29,42,5927,3.7
Allianz,Si,2024-10-16,Perito A,Sevilla,22,46,1695,1.9
Allianz,No,2024-04-06,Perito B,Zaragoza,31,27,3504,3.6
Allianz,No,2024-09-23,Perito D,Valencia,48,29,3963,4.1
Generali,Si,2024-08-08,Perito D,Málaga,36,32,5432,4.7
Mapfre,No,2024-09-05,Perito D,Valencia,26,20,2053,3.1
AXA,No,2024-12-02,Perito D,Madrid,32,25,5816,6.5
AXA,No,2024-01-06,Perito C,Madrid,21,46,6785,7.7
Linea Directa,Si,2024-11-19,Perito C,Sevilla,23,34,4859,3.0
Allianz,No,2025-03-04,Perito A,Barcelona,29,47,1491,3.6
AXA,Si,2024-08-06,Perito B,Zaragoza,58,22,3781,3.3
Mutua,Si,2025-04-27,Perito D,Zaragoza,43,49,3657,1.4
AXA,Si,2025-04-04,Perito A,Zaragoza,36,19,7754,6.9
Allianz,No,2024-11-03,Perito C,Sevilla,25,49,7480,6.7
AXA,No,2025-04-12,Perito B,Barcelona,38,28,1836,6.0
Mapfre,Si,2024-01-28,Perito A,Barcelona,24,35,3896,3.1
Allianz,Si,2025-05-31,Perito B,Barcelona,51,38,3199,3.7
Generali,No,2024-07-08,Perito B,Barcelona,29,31,3352,5.2
Mapfre,No,2024-03-05,Perito B,Madrid,28,32,898,4.7
AXA,Si,2024-11-22,Perito C,Málaga,46,48,2360,2.4
Generali,No,2024-09-12,Perito D,Zaragoza,32,26,4297,1.3
Linea Directa,Si,2025-02-24,Perito B,Málaga,38,30,4937,4.1
Mapfre,Si,2024-07-27,Perito A,Valencia,40,18,6563,6.5
Linea Directa,No,2024-08-03,Perito B,Valencia,43,39,5885,7.0
Mutua,No,2025-04-17,Perito B,Valencia,57,48,1054,3.1
Mapfre,No,2024-03-11,Perito C,Sevilla,23,42,6055,5.1
Generali,Si,2025-05-05,Perito A,Valencia,43,25,7592,4.0
Linea Directa,No,2024-01-02,Perito B,Zaragoza,54,27,6728,5.3
Mutua,No,2024-03-10,Perito C,Valencia,22,45,3674,3.8
Linea Directa,Si,2024-06-08,Perito C,Valencia,23,39,5957,3.5
AXA,Si,2025-01-21,Perito D,Madrid,56,24,5449,2.8
Allianz,No,2025-03-12,Perito D,Valencia,59,38,5372,5.8
Linea Directa,No,2024-06-25,Perito D,Málaga,54,15,1907,2.9
AXA,Si,2025-03-24,Perito B,Madrid,50,39,2977,3.5
Allianz,Si,2024-07-31,Perito B,Barcelona,44,42,5991,5.2
Allianz,No,2024-09-03,Perito B,Sevilla,59,32,1933,3.1
Generali,No,2025-04-21,Perito C,Madrid,32,20,5735,3.8
Mutua,Si,2025-05-01,Perito B,Madrid,23,16,6590,6.5
Mutua,No,2024-05-11,Perito C,Málaga,33,17,5131,4.7
Mapfre,Si,2025-06-11,Perito A,Zaragoza,32,22,3710,4.5
AXA,Si,2025-04-14,Perito B,Zaragoza,46,45,402,2.3
Generali,No,2024-06-04,Perito A,Valencia,25,33,3455,5.6
Linea Directa,No,2025-05-18,Perito D,Barcelona,36,20,4418,5.7
AXA,Si,2024-04-09,Perito A,Málaga,55,28,4696,1.8
Linea Directa,Si,2024-11-25,Perito A,Málaga,59,17,966,3.3
Linea Directa,Si,2025-06-17,Perito C,Madrid,54,15,4589,3.6
Linea Directa,No,2025-01-05,Perito C,Barcelona,36,44,2527,3.9
Mapfre,Si,2024-06-04,Perito C,Málaga,21,33,3131,1.4
Mapfre,Si,2024-10-31,Perito C,Zaragoza,32,33,7977,6.5
Generali,Si,2024-06-27,Perito D,Sevilla,21,23,397,1.5
Mapfre,No,2024-08-04,Perito A,Sevilla,47,21,7325,5.5
Generali,Si,2024-09-01,Perito D,Málaga,45,21,2130,1.4
Mapfre,No,2025-06-15,Perito D,Madrid,41,23,3782,7.1
Mutua,No,2024-05-18,Perito C,Sevilla,22,18,7095,6.4
Generali,Si,2024-01-19,Perito A,Madrid,54,39,6487,3.3
Mutua,Si,2024-03-19,Perito A,Valencia,31,26,808,4.1
Mutua,Si,2025-01-16,Perito D,Valencia,43,20,3472,1.7
Generali,No,2024-09-18,Perito C,Madrid,24,32,1347,5.1
AXA,Si,2024-10-01,Perito D,Málaga,39,35,4482,2.6
Allianz,No,2024-05-22,Perito A,Valencia,58,29,3597,3.0
Mapfre,No,2025-02-28,Perito C,Zaragoza,58,17,2711,3.4
Linea Directa,No,2024-02-19,Perito D,Valencia,32,16,7716,5.3
Mapfre,No,2024-10-08,Perito A,Zaragoza,31,18,1994,4.4
Linea Directa,No,2024-04-03,Perito B,Sevilla,32,46,859,2.9
AXA,No,2024-10-27,Perito C,Málaga,29,16,3011,4.1
Allianz,Si,2024-05-20,Perito A,Madrid,52,43,7298,6.1
AXA,Si,2024-02-22,Perito C,Valencia,59,16,6251,5.0
Allianz,No,2024-06-20,Perito A,Málaga,35,48,6746,7.1
Generali,No,2024-06-11,Perito C,Valencia,54,41,1569,3.5
Generali,Si,2024-01-27,Perito B,Sevilla,22,32,2186,1.4
Linea Directa,Si,2025-02-15,Perito D,Málaga,24,33,5830,4.1
Mutua,Si,2024-05-16,Perito D,Barcelona,45,41,346,3.3
Mutua,Si,2024-01-27,Perito D,Sevilla,30,34,3419,3.5
Linea Directa,No,2025-02-01,Perito B,Madrid,26,35,3111,4.1
Generali,Si,2024-10-25,Perito C,Málaga,29,37,1934,3.5
Linea Directa,No,2025-05-21,Perito C,Zaragoza,53,44,2043,4.0
Mutua,No,2024-04-21,Perito A,Valencia,22,39,688,4.3
Linea Directa,Si,2024-10-30,Perito A,Zaragoza,27,45,3176,2.8
Generali,Si,2024-08-04,Perito C,Málaga,50,41,2159,1.0
AXA,No,2024-07-09,Perito B,Madrid,30,48,5959,4.6
Mapfre,No,2025-01-20,Perito B,Zaragoza,26,22,6894,6.2
Generali,No,2024-12-07,Perito D,Zaragoza,21,33,2585,5.1
Linea Directa,No,2024-07-01,Perito D,Zaragoza,25,40,3119,4.3
Generali,Si,2024-02-15,Perito D,Málaga,51,42,4936,1.9
Generali,Si,2024-09-01,Perito C,Valencia,39,18,2002,2.6
Mutua,Si,2025-03-28,Perito A,Zaragoza,53,45,6816,5.1
Linea Directa,Si,2025-01-03,Perito C,Sevilla,35,30,6265,4.1
Mutua,Si,2024-03-08,Perito C,Sevilla,44,24,6494,4.3
Linea Directa,No,2024-03-14,Perito B,Valencia,31,24,5734,3.8
Mutua,No,2024-11-15,Perito B,Barcelona,26,23,4261,3.9
Mutua,Si,2025-01-26,Perito A,Barcelona,58,33,3569,3.7
AXA,Si,2024-07-31,Perito A,Sevilla,36,33,5930,3.2
Generali,No,2024-04-17,Perito C,Zaragoza,30,26,462,3.3
AXA,No,2024-06-09,Perito C,Madrid,25,27,6083,6.3
Mutua,Si,2024-10-29,Perito C,Málaga,42,39,6487,2.8
AXA,Si,2024-07-25,Perito C,Valencia,46,39,6689,4.1
Generali,No,2024-03-30,Perito B,Madrid,25,42,823,6.1
Generali,Si,2024-12-30,Perito D,Zaragoza,57,44,1216,2.0
Mutua,Si,2024-08-16,Perito D,Málaga,21,19,3843,2.4
Generali,No,2025-03-06,Perito D,Sevilla,41,31,5176,5.1
AXA,No,2025-02-23,Perito A,Valencia,39,32,2249,6.6
Allianz,No,2025-04-04,Perito A,Madrid,44,35,7240,7.1
Generali,Si,2024-11-22,Perito A,Málaga,34,36,5623,3.8
AXA,No,2025-04-20,Perito A,Sevilla,48,20,6597,5.8
AXA,Si,2025-04-03,Perito B,Sevilla,27,30,3923,4.7
AXA,No,2025-06-06,Perito C,Málaga,56,16,4748,4.5
Generali,Si,2024-01-31,Perito A,Barcelona,52,15,3308,4.6
Allianz,Si,2024-07-06,Perito D,Barcelona,41,44,5479,5.7
Mutua,No,2024-01-19,Perito A,Málaga,24,37,4290,5.0
Mutua,Si,2024-06-24,Perito D,Málaga,58,15,7358,5.7
Generali,Si,2024-12-12,Perito C,Málaga,37,33,2256,1.4
Generali,No,2025-06-18,Perito B,Sevilla,57,17,7600,6.0
Mapfre,Si,2024-06-20,Perito B,Zaragoza,56,16,3370,5.1
Linea Directa,No,2025-03-01,Perito A,Zaragoza,49,31,1882,6.6
Allianz,Si,2024-01-11,Perito A,Valencia,50,42,7159,4.5
AXA,No,2024-01-14,Perito D,Sevilla,29,32,2455,3.1
Linea Directa,No,2024-02-28,Perito A,Sevilla,34,47,1354,5.9
AXA,Si,2024-01-28,Perito B,Barcelona,37,29,4699,4.2
Linea Directa,No,2025-01-14,Perito A,Málaga,42,36,6495,5.1
Mutua,No,2025-06-18,Perito D,Sevilla,52,41,6397,4.1
Linea Directa,Si,2024-05-04,Perito C,Sevilla,35,46,3391,2.2
Generali,No,2024-09-10,Perito B,Málaga,57,33,1896,2.6
Allianz,No,2024-05-25,Perito B,Zaragoza,54,42,4191,4.2
Mutua,No,2024-08-17,Perito C,Valencia,53,42,4923,3.0
Linea Directa,No,2024-05-13,Perito C,Barcelona,47,24,4882,5.0
Allianz,Si,2025-01-16,Perito B,Madrid,21,34,1848,5.2
Generali,No,2024-08-11,Perito D,Zaragoza,49,39,5739,5.3
AXA,No,2024-11-13,Perito D,Sevilla,32,35,1645,2.5
Mapfre,No,2024-03-15,Perito A,Valencia,35,28,4399,5.2
